"Year","P_Cocoa","P_Coffee","P_Copper","P_Rice","P_Sugar","P_Tin","US_CPI","Q_Cocoa","Q_Coffee","Q_Copper","Q_Rice","Q_Sugar","Q_Tin","World_GDP"
1900,8.99,4.59,21.72,22.77,33.19,4.78,25.00,,,452,,,,603
1901,8.46,3.60,21.62,20.47,26.86,2.68,25.00,115,,529,,,90424,630
1902,8.51,3.04,14.80,19.79,21.46,4.28,26.00,126,,557,,,85547,637
1903,8.56,3.10,17.77,25.04,22.99,4.49,27.00,127,,593,,1.1,91948,657
1904,8.78,4.32,17.20,20.88,30.61,4.48,27.00,159,,662,718,1.2,93472,659
1905,8.62,4.59,20.92,23.49,32.72,5.01,27.00,149,,693,733,1.1,96012,689
1906,8.83,4.43,25.87,27.61,24.86,6.37,27.00,151,,725,690,1.3,98450,738
1907,10.71,3.50,26.84,29.64,26.15,6.10,28.00,151,,725,704,1.4,99873,759
1908,7.44,4.60,17.73,30.75,30.02,4.71,27.00,195,,766,661,1.3,105867,729
1909,6.37,4.87,17.42,24.20,29.55,4.75,27.00,212,,851,690,1.5,112370,779
1910,5.99,5.76,17.10,24.15,31.90,5.46,28.00,223,,872,977,1.5,111354,785
1911,6.32,7.80,16.61,31.61,35.42,6.76,28.00,251,,887,963,1.7,112776,818
1912,6.69,8.86,21.93,36.47,30.61,7.37,29.00,244,,1019,1035,1.6,118262,853
1913,7.44,7.20,20.49,28.55,22.87,7.07,29.70,261,,982,992,1.8,127711,881
1914,6.64,6.37,18.25,26.91,30.96,5.48,30.10,289,,926,1020,1.9,118872,829
1915,8.94,5.32,23.19,27.25,38.82,6.17,30.40,290,,1058,1035,1.8,122022,856
1916,7.60,5.87,36.50,25.15,51.25,6.95,32.70,321,,1376,1135,1.8,120396,930
1917,5.99,5.65,36.47,21.71,54.18,9.88,38.40,351,,1443,1193,1.8,120294,907
1918,6.90,7.03,33.05,24.72,49.73,14.19,45.10,281,,1395,1207,1.9,117450,924
1919,9.96,13.73,25.08,26.55,59.34,10.12,51.80,445,,1050,934,1.9,115113,911
1920,7.28,10.57,23.43,31.24,140.15,7.72,60.00,404,,967,1135,1.6,114198,911
1921,4.17,5.76,16.77,35.77,36.36,4.78,53.60,371,,528,1049,1.8,111455,901
1922,4.92,7.92,17.95,39.56,32.84,5.20,50.20,428,,863,1150,1.9,115824,962
1923,4.07,8.19,19.35,37.56,58.99,6.82,51.10,456,,1250,1293,1.9,119990,1024
1924,4.07,11.79,17.47,40.85,44.80,8.02,51.20,486,,1331,1150,2.1,137160,1074
1925,5.08,13.62,18.84,41.17,26.27,9.26,52.50,490,,1410,1236,2.4,139294,1114
1926,6.16,12.34,18.52,44.27,26.04,10.44,53.00,472,,1468,1236,2.5,138684,1156
1927,8.46,10.35,17.34,41.01,30.96,10.29,52.00,530,,1513,1221,2.4,155245,1184
1928,6.85,12.84,19.55,37.10,25.57,8.06,51.30,507,,1716,1221,2.6,173736,1221
1929,5.57,12.23,24.30,37.03,20.17,7.22,51.30,551,,1948,1265,2.8,192227,1274
1930,4.39,7.14,17.42,29.17,14.43,5.07,50.00,540,41021,1596,1236,2.8,174854,1200
